credit_card_name,reward_type,speciality,points_accumulation_rate,primary_usage_category,bank_name,annual_charges_in_inr,product_name,product_type,annual_fee,description,tags,combined_text
IDFC FIRST Select 2,dining_rewards,business_expenses,4.67,fuel,IDFC First Bank,4406,IDFC FIRST Select 2,credit_card,4406.0,IDFC FIRST Select 2 dining_rewards business_expenses fuel IDFC First Bank 4.67 annual fee 4406,business discounts fuel premium_fee,IDFC FIRST Select 2 dining_rewards business_expenses fuel IDFC First Bank 4.67 annual fee 4406 business discounts fuel premium_fee dining_rewards business_expenses fuel IDFC First Bank
ICICI Sapphiro,premium_points,business_expenses,4.53,groceries,ICICI Bank,7647,ICICI Sapphiro,credit_card,7647.0,ICICI Sapphiro premium_points business_expenses groceries ICICI Bank 4.53 annual fee 7647,business points premium premium_fee,ICICI Sapphiro premium_points business_expenses groceries ICICI Bank 4.53 annual fee 7647 business points premium premium_fee premium_points business_expenses groceries ICICI Bank
IndusInd Legend 1,shopping_rewards,grocery_cashback,3.12,shopping,IndusInd Bank,1039,IndusInd Legend 1,credit_card,1039.0,IndusInd Legend 1 shopping_rewards grocery_cashback shopping IndusInd Bank 3.12 annual fee 1039,cashback premium_fee shopping,IndusInd Legend 1 shopping_rewards grocery_cashback shopping IndusInd Bank 3.12 annual fee 1039 cashback premium_fee shopping shopping_rewards grocery_cashback shopping IndusInd Bank
Canara CashBack 2,travel_points,concierge_service,3.81,shopping,Canara Bank,4129,Canara CashBack 2,credit_card,4129.0,Canara CashBack 2 travel_points concierge_service shopping Canara Bank 3.81 annual fee 4129,cashback points premium_fee shopping travel,Canara CashBack 2 travel_points concierge_service shopping Canara Bank 3.81 annual fee 4129 cashback points premium_fee shopping travel travel_points concierge_service shopping Canara Bank
RBL Wealth,premium_points,grocery_cashback,2.27,fuel,RBL Bank,5610,RBL Wealth,credit_card,5610.0,RBL Wealth premium_points grocery_cashback fuel RBL Bank 2.27 annual fee 5610,cashback fuel points premium premium_fee,RBL Wealth premium_points grocery_cashback fuel RBL Bank 2.27 annual fee 5610 cashback fuel points premium premium_fee premium_points grocery_cashback fuel RBL Bank
Axis Vistara 2,premium_points,milestone_rewards,3.31,luxury,Axis Bank,5761,Axis Vistara 2,credit_card,5761.0,Axis Vistara 2 premium_points milestone_rewards luxury Axis Bank 3.31 annual fee 5761,points premium premium_fee travel,Axis Vistara 2 premium_points milestone_rewards luxury Axis Bank 3.31 annual fee 5761 points premium premium_fee travel premium_points milestone_rewards luxury Axis Bank
IndusInd Select Business,fuel_rewards,airport_lounge_access,3.42,shopping,IndusInd Bank,4652,IndusInd Select Business,credit_card,4652.0,IndusInd Select Business fuel_rewards airport_lounge_access shopping IndusInd Bank 3.42 annual fee 4652,business fuel premium premium_fee shopping,IndusInd Select Business fuel_rewards airport_lounge_access shopping IndusInd Bank 3.42 annual fee 4652 business fuel premium premium_fee shopping fuel_rewards airport_lounge_access shopping IndusInd Bank
Airtel Platinum,shopping_rewards,milestone_rewards,2.68,fuel,Airtel Payments Bank,732,Airtel Platinum,credit_card,732.0,Airtel Platinum shopping_rewards milestone_rewards fuel Airtel Payments Bank 2.68 annual fee 732,fuel moderate_fee premium shopping travel,Airtel Platinum shopping_rewards milestone_rewards fuel Airtel Payments Bank 2.68 annual fee 732 fuel moderate_fee premium shopping travel shopping_rewards milestone_rewards fuel Airtel Payments Bank
IDFC FIRST Business 2,fuel_rewards,fuel_surcharge_waiver,3.29,dining,IDFC First Bank,7277,IDFC FIRST Business 2,credit_card,7277.0,IDFC FIRST Business 2 fuel_rewards fuel_surcharge_waiver dining IDFC First Bank 3.29 annual fee 7277,business discounts fuel premium_fee,IDFC FIRST Business 2 fuel_rewards fuel_surcharge_waiver dining IDFC First Bank 3.29 annual fee 7277 business discounts fuel premium_fee fuel_rewards fuel_surcharge_waiver dining IDFC First Bank
Union Business 1,fuel_rewards,grocery_cashback,2.56,dining,Union Bank of India,2530,Union Business 1,credit_card,2530.0,Union Business 1 fuel_rewards grocery_cashback dining Union Bank of India 2.56 annual fee 2530,business cashback discounts fuel premium_fee,Union Business 1 fuel_rewards grocery_cashback dining Union Bank of India 2.56 annual fee 2530 business cashback discounts fuel premium_fee fuel_rewards grocery_cashback dining Union Bank of India
SBI Cashback 1,cashback,dining_discounts,1.54,shopping,SBI,2919,SBI Cashback 1,credit_card,2919.0,SBI Cashback 1 cashback dining_discounts shopping SBI 1.54 annual fee 2919,cashback discounts premium_fee shopping,SBI Cashback 1 cashback dining_discounts shopping SBI 1.54 annual fee 2919 cashback discounts premium_fee shopping cashback dining_discounts shopping SBI
Canara Elite 2,cashback,welcome_bonus,1.15,fuel,Canara Bank,1523,Canara Elite 2,credit_card,1523.0,Canara Elite 2 cashback welcome_bonus fuel Canara Bank 1.15 annual fee 1523,cashback fuel premium_fee,Canara Elite 2 cashback welcome_bonus fuel Canara Bank 1.15 annual fee 1523 cashback fuel premium_fee cashback welcome_bonus fuel Canara Bank
Union Rewards 1,dining_rewards,priority_checkout,2.64,luxury,Union Bank of India,3236,Union Rewards 1,credit_card,3236.0,Union Rewards 1 dining_rewards priority_checkout luxury Union Bank of India 2.64 annual fee 3236,discounts premium_fee,Union Rewards 1 dining_rewards priority_checkout luxury Union Bank of India 2.64 annual fee 3236 discounts premium_fee dining_rewards priority_checkout luxury Union Bank of India
HDFC Smartbuy 4,shopping_rewards,priority_checkout,2.23,fuel,HDFC Bank,6118,HDFC Smartbuy 4,credit_card,6118.0,HDFC Smartbuy 4 shopping_rewards priority_checkout fuel HDFC Bank 2.23 annual fee 6118,fuel premium_fee shopping,HDFC Smartbuy 4 shopping_rewards priority_checkout fuel HDFC Bank 2.23 annual fee 6118 fuel premium_fee shopping shopping_rewards priority_checkout fuel HDFC Bank
IndusInd Merchant 1,cashback,fuel_surcharge_waiver,1.67,business,IndusInd Bank,1262,IndusInd Merchant 1,credit_card,1262.0,IndusInd Merchant 1 cashback fuel_surcharge_waiver business IndusInd Bank 1.67 annual fee 1262,business cashback fuel premium_fee,IndusInd Merchant 1 cashback fuel_surcharge_waiver business IndusInd Bank 1.67 annual fee 1262 business cashback fuel premium_fee cashback fuel_surcharge_waiver business IndusInd Bank
BOB Premium,dining_rewards,accelerated_rewards,2.73,travel,Bank of Baroda,3504,BOB Premium,credit_card,3504.0,BOB Premium dining_rewards accelerated_rewards travel Bank of Baroda 2.73 annual fee 3504,discounts premium premium_fee travel,BOB Premium dining_rewards accelerated_rewards travel Bank of Baroda 2.73 annual fee 3504 discounts premium premium_fee travel dining_rewards accelerated_rewards travel Bank of Baroda
Kotak Rewards,travel_points,milestone_rewards,4.25,business,Kotak Mahindra,3316,Kotak Rewards,credit_card,3316.0,Kotak Rewards travel_points milestone_rewards business Kotak Mahindra 4.25 annual fee 3316,business points premium_fee travel,Kotak Rewards travel_points milestone_rewards business Kotak Mahindra 4.25 annual fee 3316 business points premium_fee travel travel_points milestone_rewards business Kotak Mahindra
IDFC FIRST Plus,premium_points,golf_membership,2.63,travel,IDFC First Bank,7645,IDFC FIRST Plus,credit_card,7645.0,IDFC FIRST Plus premium_points golf_membership travel IDFC First Bank 2.63 annual fee 7645,points premium premium_fee travel,IDFC FIRST Plus premium_points golf_membership travel IDFC First Bank 2.63 annual fee 7645 points premium premium_fee travel premium_points golf_membership travel IDFC First Bank
Yes Bank Prosperity,cashback,welcome_bonus,1.52,online_spends,Yes Bank,504,Yes Bank Prosperity,credit_card,504.0,Yes Bank Prosperity cashback welcome_bonus online_spends Yes Bank 1.52 annual fee 504,cashback moderate_fee shopping,Yes Bank Prosperity cashback welcome_bonus online_spends Yes Bank 1.52 annual fee 504 cashback moderate_fee shopping cashback welcome_bonus online_spends Yes Bank
ICICI Amazon 1,premium_points,insurance_coverage,4.04,online_spends,ICICI Bank,6248,ICICI Amazon 1,credit_card,6248.0,ICICI Amazon 1 premium_points insurance_coverage online_spends ICICI Bank 4.04 annual fee 6248,points premium premium_fee shopping,ICICI Amazon 1 premium_points insurance_coverage online_spends ICICI Bank 4.04 annual fee 6248 points premium premium_fee shopping premium_points insurance_coverage online_spends ICICI Bank
Yes Elite 4,shopping_rewards,grocery_cashback,2.21,travel,Yes Bank,5529,Yes Elite 4,credit_card,5529.0,Yes Elite 4 shopping_rewards grocery_cashback travel Yes Bank 2.21 annual fee 5529,cashback premium_fee shopping travel,Yes Elite 4 shopping_rewards grocery_cashback travel Yes Bank 2.21 annual fee 5529 cashback premium_fee shopping travel shopping_rewards grocery_cashback travel Yes Bank
SBI Cashback 4,cashback,movie_discounts,1.24,business,SBI,1919,SBI Cashback 4,credit_card,1919.0,SBI Cashback 4 cashback movie_discounts business SBI 1.24 annual fee 1919,business cashback discounts premium_fee,SBI Cashback 4 cashback movie_discounts business SBI 1.24 annual fee 1919 business cashback discounts premium_fee cashback movie_discounts business SBI
Union Privilege 4,shopping_rewards,grocery_cashback,1.66,groceries,Union Bank of India,5929,Union Privilege 4,credit_card,5929.0,Union Privilege 4 shopping_rewards grocery_cashback groceries Union Bank of India 1.66 annual fee 5929,cashback premium_fee shopping,Union Privilege 4 shopping_rewards grocery_cashback groceries Union Bank of India 1.66 annual fee 5929 cashback premium_fee shopping shopping_rewards grocery_cashback groceries Union Bank of India
HDFC TimesPoints 2,dining_rewards,international_travel,3.18,business,HDFC Bank,4493,HDFC TimesPoints 2,credit_card,4493.0,HDFC TimesPoints 2 dining_rewards international_travel business HDFC Bank 3.18 annual fee 4493,business discounts points premium_fee travel,HDFC TimesPoints 2 dining_rewards international_travel business HDFC Bank 3.18 annual fee 4493 business discounts points premium_fee travel dining_rewards international_travel business HDFC Bank
Kotak League,dining_rewards,concierge_service,2.74,online_spends,Kotak Mahindra,5553,Kotak League,credit_card,5553.0,Kotak League dining_rewards concierge_service online_spends Kotak Mahindra 2.74 annual fee 5553,discounts premium_fee shopping,Kotak League dining_rewards concierge_service online_spends Kotak Mahindra 2.74 annual fee 5553 discounts premium_fee shopping dining_rewards concierge_service online_spends Kotak Mahindra
Federal Exclusive 1,cashback,dining_discounts,1.89,travel,Federal Bank,2861,Federal Exclusive 1,credit_card,2861.0,Federal Exclusive 1 cashback dining_discounts travel Federal Bank 1.89 annual fee 2861,cashback discounts premium_fee travel,Federal Exclusive 1 cashback dining_discounts travel Federal Bank 1.89 annual fee 2861 cashback discounts premium_fee travel cashback dining_discounts travel Federal Bank
Union Privilege 9,travel_points,insurance_coverage,4.72,luxury,Union Bank of India,6635,Union Privilege 9,credit_card,6635.0,Union Privilege 9 travel_points insurance_coverage luxury Union Bank of India 4.72 annual fee 6635,points premium_fee travel,Union Privilege 9 travel_points insurance_coverage luxury Union Bank of India 4.72 annual fee 6635 points premium_fee travel travel_points insurance_coverage luxury Union Bank of India
RBL Elite 3,premium_points,priority_checkout,4.15,groceries,RBL Bank,8496,RBL Elite 3,credit_card,8496.0,RBL Elite 3 premium_points priority_checkout groceries RBL Bank 4.15 annual fee 8496,points premium premium_fee,RBL Elite 3 premium_points priority_checkout groceries RBL Bank 4.15 annual fee 8496 points premium premium_fee premium_points priority_checkout groceries RBL Bank
ICICI Pockets 1,fuel_rewards,grocery_cashback,2.67,luxury,ICICI Bank,3945,ICICI Pockets 1,credit_card,3945.0,ICICI Pockets 1 fuel_rewards grocery_cashback luxury ICICI Bank 2.67 annual fee 3945,cashback fuel premium_fee,ICICI Pockets 1 fuel_rewards grocery_cashback luxury ICICI Bank 2.67 annual fee 3945 cashback fuel premium_fee fuel_rewards grocery_cashback luxury ICICI Bank
Axis Privilege 3,premium_points,business_expenses,4.36,travel,Axis Bank,4215,Axis Privilege 3,credit_card,4215.0,Axis Privilege 3 premium_points business_expenses travel Axis Bank 4.36 annual fee 4215,business points premium premium_fee travel,Axis Privilege 3 premium_points business_expenses travel Axis Bank 4.36 annual fee 4215 business points premium premium_fee travel premium_points business_expenses travel Axis Bank
ICICI MakeMyTrip 3,dining_rewards,business_expenses,3.72,business,ICICI Bank,6890,ICICI MakeMyTrip 3,credit_card,6890.0,ICICI MakeMyTrip 3 dining_rewards business_expenses business ICICI Bank 3.72 annual fee 6890,business discounts premium_fee,ICICI MakeMyTrip 3 dining_rewards business_expenses business ICICI Bank 3.72 annual fee 6890 business discounts premium_fee dining_rewards business_expenses business ICICI Bank
Axis Insta Business 1,fuel_rewards,welcome_bonus,2.84,shopping,Axis Bank,5429,Axis Insta Business 1,credit_card,5429.0,Axis Insta Business 1 fuel_rewards welcome_bonus shopping Axis Bank 2.84 annual fee 5429,business fuel premium_fee shopping,Axis Insta Business 1 fuel_rewards welcome_bonus shopping Axis Bank 2.84 annual fee 5429 business fuel premium_fee shopping fuel_rewards welcome_bonus shopping Axis Bank
Canara Privilege,fuel_rewards,concierge_service,2.61,business,Canara Bank,3691,Canara Privilege,credit_card,3691.0,Canara Privilege fuel_rewards concierge_service business Canara Bank 2.61 annual fee 3691,business fuel premium_fee,Canara Privilege fuel_rewards concierge_service business Canara Bank 2.61 annual fee 3691 business fuel premium_fee fuel_rewards concierge_service business Canara Bank
Federal Business 1,cashback,business_expenses,0.51,fuel,Federal Bank,574,Federal Business 1,credit_card,574.0,Federal Business 1 cashback business_expenses fuel Federal Bank 0.51 annual fee 574,business cashback fuel moderate_fee,Federal Business 1 cashback business_expenses fuel Federal Bank 0.51 annual fee 574 business cashback fuel moderate_fee cashback business_expenses fuel Federal Bank
HDFC Millennia,travel_points,accelerated_rewards,3.31,fuel,HDFC Bank,6731,HDFC Millennia,credit_card,6731.0,HDFC Millennia travel_points accelerated_rewards fuel HDFC Bank 3.31 annual fee 6731,fuel points premium_fee travel,HDFC Millennia travel_points accelerated_rewards fuel HDFC Bank 3.31 annual fee 6731 fuel points premium_fee travel travel_points accelerated_rewards fuel HDFC Bank
HDFC Diners,shopping_rewards,concierge_service,3.86,shopping,HDFC Bank,2541,HDFC Diners,credit_card,2541.0,HDFC Diners shopping_rewards concierge_service shopping HDFC Bank 3.86 annual fee 2541,premium_fee shopping,HDFC Diners shopping_rewards concierge_service shopping HDFC Bank 3.86 annual fee 2541 premium_fee shopping shopping_rewards concierge_service shopping HDFC Bank
Yes Preferred,premium_points,milestone_rewards,4.8,travel,Yes Bank,5493,Yes Preferred,credit_card,5493.0,Yes Preferred premium_points milestone_rewards travel Yes Bank 4.8 annual fee 5493,points premium premium_fee travel,Yes Preferred premium_points milestone_rewards travel Yes Bank 4.8 annual fee 5493 points premium premium_fee travel premium_points milestone_rewards travel Yes Bank
Canara CashBack 1,premium_points,international_travel,2.27,travel,Canara Bank,9641,Canara CashBack 1,credit_card,9641.0,Canara CashBack 1 premium_points international_travel travel Canara Bank 2.27 annual fee 9641,cashback points premium premium_fee travel,Canara CashBack 1 premium_points international_travel travel Canara Bank 2.27 annual fee 9641 cashback points premium premium_fee travel premium_points international_travel travel Canara Bank
Union Elite 2,cashback,online_cashback,0.86,dining,Union Bank of India,1165,Union Elite 2,credit_card,1165.0,Union Elite 2 cashback online_cashback dining Union Bank of India 0.86 annual fee 1165,cashback discounts premium_fee shopping,Union Elite 2 cashback online_cashback dining Union Bank of India 0.86 annual fee 1165 cashback discounts premium_fee shopping cashback online_cashback dining Union Bank of India
BOB Cashback 1,fuel_rewards,international_travel,3.83,travel,Bank of Baroda,2250,BOB Cashback 1,credit_card,2250.0,BOB Cashback 1 fuel_rewards international_travel travel Bank of Baroda 3.83 annual fee 2250,cashback fuel premium_fee travel,BOB Cashback 1 fuel_rewards international_travel travel Bank of Baroda 3.83 annual fee 2250 cashback fuel premium_fee travel fuel_rewards international_travel travel Bank of Baroda
BOB Rewards,travel_points,airport_lounge_access,4.38,luxury,Bank of Baroda,6607,BOB Rewards,credit_card,6607.0,BOB Rewards travel_points airport_lounge_access luxury Bank of Baroda 4.38 annual fee 6607,points premium premium_fee travel,BOB Rewards travel_points airport_lounge_access luxury Bank of Baroda 4.38 annual fee 6607 points premium premium_fee travel travel_points airport_lounge_access luxury Bank of Baroda
IndusInd Legend 5,premium_points,fuel_surcharge_waiver,4.43,online_spends,IndusInd Bank,3858,IndusInd Legend 5,credit_card,3858.0,IndusInd Legend 5 premium_points fuel_surcharge_waiver online_spends IndusInd Bank 4.43 annual fee 3858,fuel points premium premium_fee shopping,IndusInd Legend 5 premium_points fuel_surcharge_waiver online_spends IndusInd Bank 4.43 annual fee 3858 fuel points premium premium_fee shopping premium_points fuel_surcharge_waiver online_spends IndusInd Bank
Airtel Business,fuel_rewards,business_expenses,4.16,online_spends,Airtel Payments Bank,3428,Airtel Business,credit_card,3428.0,Airtel Business fuel_rewards business_expenses online_spends Airtel Payments Bank 4.16 annual fee 3428,business fuel premium_fee shopping,Airtel Business fuel_rewards business_expenses online_spends Airtel Payments Bank 4.16 annual fee 3428 business fuel premium_fee shopping fuel_rewards business_expenses online_spends Airtel Payments Bank
Airtel Plus,premium_points,movie_discounts,4.84,travel,Airtel Payments Bank,7127,Airtel Plus,credit_card,7127.0,Airtel Plus premium_points movie_discounts travel Airtel Payments Bank 4.84 annual fee 7127,discounts points premium premium_fee travel,Airtel Plus premium_points movie_discounts travel Airtel Payments Bank 4.84 annual fee 7127 discounts points premium premium_fee travel premium_points movie_discounts travel Airtel Payments Bank
IndusInd Select Business 1,cashback,dining_discounts,0.52,online_spends,IndusInd Bank,475,IndusInd Select Business 1,credit_card,475.0,IndusInd Select Business 1 cashback dining_discounts online_spends IndusInd Bank 0.52 annual fee 475,business cashback discounts moderate_fee shopping,IndusInd Select Business 1 cashback dining_discounts online_spends IndusInd Bank 0.52 annual fee 475 business cashback discounts moderate_fee shopping cashback dining_discounts online_spends IndusInd Bank
SBI SimplyClick,fuel_rewards,movie_discounts,4.02,business,SBI,2234,SBI SimplyClick,credit_card,2234.0,SBI SimplyClick fuel_rewards movie_discounts business SBI 4.02 annual fee 2234,business discounts fuel premium_fee,SBI SimplyClick fuel_rewards movie_discounts business SBI 4.02 annual fee 2234 business discounts fuel premium_fee fuel_rewards movie_discounts business SBI
Axis MyDining,travel_points,concierge_service,4.86,business,Axis Bank,7221,Axis MyDining,credit_card,7221.0,Axis MyDining travel_points concierge_service business Axis Bank 4.86 annual fee 7221,business discounts points premium_fee travel,Axis MyDining travel_points concierge_service business Axis Bank 4.86 annual fee 7221 business discounts points premium_fee travel travel_points concierge_service business Axis Bank
Axis Flipkart 2,travel_points,business_expenses,3.48,business,Axis Bank,4172,Axis Flipkart 2,credit_card,4172.0,Axis Flipkart 2 travel_points business_expenses business Axis Bank 3.48 annual fee 4172,business points premium_fee travel,Axis Flipkart 2 travel_points business_expenses business Axis Bank 3.48 annual fee 4172 business points premium_fee travel travel_points business_expenses business Axis Bank
SBI Business,cashback,accelerated_rewards,0.73,online_spends,SBI,2511,SBI Business,credit_card,2511.0,SBI Business cashback accelerated_rewards online_spends SBI 0.73 annual fee 2511,business cashback premium_fee shopping,SBI Business cashback accelerated_rewards online_spends SBI 0.73 annual fee 2511 business cashback premium_fee shopping cashback accelerated_rewards online_spends SBI
IDFC FIRST Travel,cashback,priority_checkout,1.19,fuel,IDFC First Bank,1935,IDFC FIRST Travel,credit_card,1935.0,IDFC FIRST Travel cashback priority_checkout fuel IDFC First Bank 1.19 annual fee 1935,cashback fuel premium_fee travel,IDFC FIRST Travel cashback priority_checkout fuel IDFC First Bank 1.19 annual fee 1935 cashback fuel premium_fee travel cashback priority_checkout fuel IDFC First Bank
HDFC Smartbuy 1,travel_points,movie_discounts,3.2,groceries,HDFC Bank,5986,HDFC Smartbuy 1,credit_card,5986.0,HDFC Smartbuy 1 travel_points movie_discounts groceries HDFC Bank 3.2 annual fee 5986,discounts points premium_fee travel,HDFC Smartbuy 1 travel_points movie_discounts groceries HDFC Bank 3.2 annual fee 5986 discounts points premium_fee travel travel_points movie_discounts groceries HDFC Bank
Airtel Rewards,premium_points,welcome_bonus,3.31,travel,Airtel Payments Bank,8788,Airtel Rewards,credit_card,8788.0,Airtel Rewards premium_points welcome_bonus travel Airtel Payments Bank 3.31 annual fee 8788,points premium premium_fee travel,Airtel Rewards premium_points welcome_bonus travel Airtel Payments Bank 3.31 annual fee 8788 points premium premium_fee travel premium_points welcome_bonus travel Airtel Payments Bank
RBL Elite,shopping_rewards,concierge_service,3.91,dining,RBL Bank,875,RBL Elite,credit_card,875.0,RBL Elite shopping_rewards concierge_service dining RBL Bank 3.91 annual fee 875,discounts moderate_fee shopping,RBL Elite shopping_rewards concierge_service dining RBL Bank 3.91 annual fee 875 discounts moderate_fee shopping shopping_rewards concierge_service dining RBL Bank
BOB Gold 2,fuel_rewards,golf_membership,3.4,shopping,Bank of Baroda,630,BOB Gold 2,credit_card,630.0,BOB Gold 2 fuel_rewards golf_membership shopping Bank of Baroda 3.4 annual fee 630,fuel moderate_fee premium shopping,BOB Gold 2 fuel_rewards golf_membership shopping Bank of Baroda 3.4 annual fee 630 fuel moderate_fee premium shopping fuel_rewards golf_membership shopping Bank of Baroda
IDFC FIRST Digital,dining_rewards,grocery_cashback,2.87,travel,IDFC First Bank,5949,IDFC FIRST Digital,credit_card,5949.0,IDFC FIRST Digital dining_rewards grocery_cashback travel IDFC First Bank 2.87 annual fee 5949,cashback discounts premium_fee travel,IDFC FIRST Digital dining_rewards grocery_cashback travel IDFC First Bank 2.87 annual fee 5949 cashback discounts premium_fee travel dining_rewards grocery_cashback travel IDFC First Bank
IndusInd Pinnacle 4,premium_points,concierge_service,5.87,online_spends,IndusInd Bank,7358,IndusInd Pinnacle 4,credit_card,7358.0,IndusInd Pinnacle 4 premium_points concierge_service online_spends IndusInd Bank 5.87 annual fee 7358,points premium premium_fee shopping,IndusInd Pinnacle 4 premium_points concierge_service online_spends IndusInd Bank 5.87 annual fee 7358 points premium premium_fee shopping premium_points concierge_service online_spends IndusInd Bank
Union Business,travel_points,accelerated_rewards,4.98,luxury,Union Bank of India,4304,Union Business,credit_card,4304.0,Union Business travel_points accelerated_rewards luxury Union Bank of India 4.98 annual fee 4304,business points premium_fee travel,Union Business travel_points accelerated_rewards luxury Union Bank of India 4.98 annual fee 4304 business points premium_fee travel travel_points accelerated_rewards luxury Union Bank of India
IndusInd Legend 4,travel_points,online_cashback,3.95,fuel,IndusInd Bank,4863,IndusInd Legend 4,credit_card,4863.0,IndusInd Legend 4 travel_points online_cashback fuel IndusInd Bank 3.95 annual fee 4863,cashback fuel points premium_fee shopping travel,IndusInd Legend 4 travel_points online_cashback fuel IndusInd Bank 3.95 annual fee 4863 cashback fuel points premium_fee shopping travel travel_points online_cashback fuel IndusInd Bank
IndusInd Pinnacle 1,fuel_rewards,priority_checkout,3.49,travel,IndusInd Bank,4425,IndusInd Pinnacle 1,credit_card,4425.0,IndusInd Pinnacle 1 fuel_rewards priority_checkout travel IndusInd Bank 3.49 annual fee 4425,fuel premium_fee travel,IndusInd Pinnacle 1 fuel_rewards priority_checkout travel IndusInd Bank 3.49 annual fee 4425 fuel premium_fee travel fuel_rewards priority_checkout travel IndusInd Bank
IDFC FIRST Business,shopping_rewards,milestone_rewards,2.24,fuel,IDFC First Bank,2628,IDFC FIRST Business,credit_card,2628.0,IDFC FIRST Business shopping_rewards milestone_rewards fuel IDFC First Bank 2.24 annual fee 2628,business fuel premium_fee shopping travel,IDFC FIRST Business shopping_rewards milestone_rewards fuel IDFC First Bank 2.24 annual fee 2628 business fuel premium_fee shopping travel shopping_rewards milestone_rewards fuel IDFC First Bank
Kotak Business 2,dining_rewards,milestone_rewards,3.21,dining,Kotak Mahindra,3004,Kotak Business 2,credit_card,3004.0,Kotak Business 2 dining_rewards milestone_rewards dining Kotak Mahindra 3.21 annual fee 3004,business discounts premium_fee travel,Kotak Business 2 dining_rewards milestone_rewards dining Kotak Mahindra 3.21 annual fee 3004 business discounts premium_fee travel dining_rewards milestone_rewards dining Kotak Mahindra
ICICI FBB 1,cashback,concierge_service,1.11,travel,ICICI Bank,2489,ICICI FBB 1,credit_card,2489.0,ICICI FBB 1 cashback concierge_service travel ICICI Bank 1.11 annual fee 2489,cashback premium_fee travel,ICICI FBB 1 cashback concierge_service travel ICICI Bank 1.11 annual fee 2489 cashback premium_fee travel cashback concierge_service travel ICICI Bank
RBL Tiara 1,fuel_rewards,grocery_cashback,4.4,online_spends,RBL Bank,3705,RBL Tiara 1,credit_card,3705.0,RBL Tiara 1 fuel_rewards grocery_cashback online_spends RBL Bank 4.4 annual fee 3705,cashback fuel premium_fee shopping,RBL Tiara 1 fuel_rewards grocery_cashback online_spends RBL Bank 4.4 annual fee 3705 cashback fuel premium_fee shopping fuel_rewards grocery_cashback online_spends RBL Bank
Federal Business,fuel_rewards,movie_discounts,4.33,business,Federal Bank,5943,Federal Business,credit_card,5943.0,Federal Business fuel_rewards movie_discounts business Federal Bank 4.33 annual fee 5943,business discounts fuel premium_fee,Federal Business fuel_rewards movie_discounts business Federal Bank 4.33 annual fee 5943 business discounts fuel premium_fee fuel_rewards movie_discounts business Federal Bank
Federal Rewards,fuel_rewards,insurance_coverage,2.62,luxury,Federal Bank,5799,Federal Rewards,credit_card,5799.0,Federal Rewards fuel_rewards insurance_coverage luxury Federal Bank 2.62 annual fee 5799,fuel premium_fee,Federal Rewards fuel_rewards insurance_coverage luxury Federal Bank 2.62 annual fee 5799 fuel premium_fee fuel_rewards insurance_coverage luxury Federal Bank
Kotak White 1,cashback,accelerated_rewards,1.8,groceries,Kotak Mahindra,1687,Kotak White 1,credit_card,1687.0,Kotak White 1 cashback accelerated_rewards groceries Kotak Mahindra 1.8 annual fee 1687,cashback premium_fee,Kotak White 1 cashback accelerated_rewards groceries Kotak Mahindra 1.8 annual fee 1687 cashback premium_fee cashback accelerated_rewards groceries Kotak Mahindra
IndusInd Pinnacle,cashback,movie_discounts,0.96,dining,IndusInd Bank,2779,IndusInd Pinnacle,credit_card,2779.0,IndusInd Pinnacle cashback movie_discounts dining IndusInd Bank 0.96 annual fee 2779,cashback discounts premium_fee,IndusInd Pinnacle cashback movie_discounts dining IndusInd Bank 0.96 annual fee 2779 cashback discounts premium_fee cashback movie_discounts dining IndusInd Bank
Kotak Rewards 3,premium_points,welcome_bonus,4.25,travel,Kotak Mahindra,6266,Kotak Rewards 3,credit_card,6266.0,Kotak Rewards 3 premium_points welcome_bonus travel Kotak Mahindra 4.25 annual fee 6266,points premium premium_fee travel,Kotak Rewards 3 premium_points welcome_bonus travel Kotak Mahindra 4.25 annual fee 6266 points premium premium_fee travel premium_points welcome_bonus travel Kotak Mahindra
HDFC Smartbuy 2,shopping_rewards,movie_discounts,1.96,shopping,HDFC Bank,1521,HDFC Smartbuy 2,credit_card,1521.0,HDFC Smartbuy 2 shopping_rewards movie_discounts shopping HDFC Bank 1.96 annual fee 1521,discounts premium_fee shopping,HDFC Smartbuy 2 shopping_rewards movie_discounts shopping HDFC Bank 1.96 annual fee 1521 discounts premium_fee shopping shopping_rewards movie_discounts shopping HDFC Bank
SBI Business 2,fuel_rewards,airport_lounge_access,3.64,business,SBI,7055,SBI Business 2,credit_card,7055.0,SBI Business 2 fuel_rewards airport_lounge_access business SBI 3.64 annual fee 7055,business fuel premium premium_fee,SBI Business 2 fuel_rewards airport_lounge_access business SBI 3.64 annual fee 7055 business fuel premium premium_fee fuel_rewards airport_lounge_access business SBI
RBL Platinum 1,dining_rewards,airport_lounge_access,4.45,online_spends,RBL Bank,4743,RBL Platinum 1,credit_card,4743.0,RBL Platinum 1 dining_rewards airport_lounge_access online_spends RBL Bank 4.45 annual fee 4743,discounts premium premium_fee shopping,RBL Platinum 1 dining_rewards airport_lounge_access online_spends RBL Bank 4.45 annual fee 4743 discounts premium premium_fee shopping dining_rewards airport_lounge_access online_spends RBL Bank
